Date,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
19-11-2023,36585.76569941759,37509.35625987837,36414.5982759999,37386.547774872015,12915986552.51,730802775303.56,2023-11-19T00:00:00.000Z,2023-11-19T23:43:00.000Z,2023-11-19T14:16:00.000Z,2023-11-19T23:59:59.999Z
18-11-2023,36625.37147632968,36839.28286851213,36233.311731251146,36585.70292986443,11886022717.42,715107332423.29,2023-11-18T00:00:00.000Z,2023-11-18T16:13:00.000Z,2023-11-18T07:05:00.000Z,2023-11-18T23:59:59.999Z
17-11-2023,36164.823604233476,36704.4828037394,35901.23556302705,36596.6819231214,22445028429.93,715288296429.98,2023-11-17T00:00:00.000Z,2023-11-17T23:09:00.000Z,2023-11-17T14:56:00.000Z,2023-11-17T23:59:59.999Z
16-11-2023,37879.97993703658,37934.625198058966,35545.47334288098,36154.76924136849,26007385365.73,706617161805.01,2023-11-16T00:00:00.000Z,2023-11-16T00:07:00.000Z,2023-11-16T19:40:00.000Z,2023-11-16T23:59:59.999Z
15-11-2023,35548.11279337034,37964.89283231469,35383.78096689331,37880.5831724307,27365821678.5,740312548128.35,2023-11-15T00:00:00.000Z,2023-11-15T23:57:00.000Z,2023-11-15T02:20:00.000Z,2023-11-15T23:59:59.999Z
14-11-2023,36491.78757755401,36753.352187624136,34948.500276144616,35537.640515525054,23857403554.48,694491212462.29,2023-11-14T00:00:00.000Z,2023-11-14T08:19:00.000Z,2023-11-14T18:54:00.000Z,2023-11-14T23:59:59.999Z
13-11-2023,37070.30587130394,37405.115299504556,36399.6051113486,36502.357337328074,19057712790.07,713311947480.48,2023-11-13T00:00:00.000Z,2023-11-13T01:18:00.000Z,2023-11-13T21:37:00.000Z,2023-11-13T23:59:59.999Z
12-11-2023,37133.99088465863,37227.69255774011,36779.11653426268,37054.52014290949,11545715998.89,724074263172.69,2023-11-12T00:00:00.000Z,2023-11-12T15:46:00.000Z,2023-11-12T00:50:00.000Z,2023-11-12T23:59:59.999Z
11-11-2023,37310.07076018703,37407.09327513494,36773.66645641085,37138.05054089541,13924272141.51,725668445884.77,2023-11-11T00:00:00.000Z,2023-11-11T00:30:00.000Z,2023-11-11T22:15:00.000Z,2023-11-11T23:59:59.999Z
10-11-2023,36702.25185833033,37493.80130055624,36362.75522760053,37313.96968745709,22711265155.03,729069481963.87,2023-11-10T00:00:00.000Z,2023-11-10T23:17:00.000Z,2023-11-10T08:19:00.000Z,2023-11-10T23:59:59.999Z
09-11-2023,35633.63439386015,37926.25679699591,35592.10325193485,36693.12363384313,37762672381.84,716902433922.7,2023-11-09T00:00:00.000Z,2023-11-09T14:54:00.000Z,2023-11-09T00:07:00.000Z,2023-11-09T23:59:59.999Z
08-11-2023,35419.47671711763,35994.41653148805,35147.80080538076,35655.276081231335,17295394917.86,696595346035.22,2023-11-08T00:00:00.000Z,2023-11-08T23:46:00.000Z,2023-11-08T15:26:00.000Z,2023-11-08T23:59:59.999Z
07-11-2023,35047.79363303743,35892.4163695816,34545.815095319114,35443.56136071489,18834737788.75,692425627404.3,2023-11-07T00:00:00.000Z,2023-11-07T20:58:00.000Z,2023-11-07T12:13:00.000Z,2023-11-07T23:59:59.999Z
06-11-2023,35044.78991912894,35286.02682683437,34765.36484710064,35037.36944071989,12693436419.5,684460477854.1,2023-11-06T00:00:00.000Z,2023-11-06T10:40:00.000Z,2023-11-06T05:31:00.000Z,2023-11-06T23:59:59.999Z
05-11-2023,35090.01302136603,35340.33971907179,34594.242577125166,35049.355924023635,12412743995.66,684667682720.63,2023-11-05T00:00:00.000Z,2023-11-05T23:05:00.000Z,2023-11-05T21:53:00.000Z,2023-11-05T23:59:59.999Z
04-11-2023,34736.3234106715,35256.03274651799,34616.69333590463,35082.19722085255,9561294263.72,685272381015.38,2023-11-04T00:00:00.000Z,2023-11-04T23:09:00.000Z,2023-11-04T05:11:00.000Z,2023-11-04T23:59:59.999Z
03-11-2023,34942.47431814301,34942.47431814301,34133.4396153842,34732.3255842841,17158456701.46,678402411403.87,2023-11-03T00:00:00.000Z,2023-11-03T00:00:00.000Z,2023-11-03T10:20:00.000Z,2023-11-03T23:59:59.999Z
02-11-2023,35441.57738508785,35919.84360177655,34401.57490594725,34938.24239514348,20998158544.23,682394289860.93,2023-11-02T00:00:00.000Z,2023-11-02T02:51:00.000Z,2023-11-02T16:32:00.000Z,2023-11-02T23:59:59.999Z
01-11-2023,34657.27532449595,35527.931560767465,34170.69259009812,35437.25318108723,22446272004.73,692109682986.45,2023-11-01T00:00:00.000Z,2023-11-01T21:05:00.000Z,2023-11-01T14:57:00.000Z,2023-11-01T23:59:59.999Z
31-10-2023,34500.077738404965,34719.25404921463,34083.30945920267,34667.779360546745,15758270810.39,677047621125.28,2023-10-31T00:00:00.000Z,2023-10-31T21:21:00.000Z,2023-10-31T08:07:00.000Z,2023-10-31T23:59:59.999Z
30-10-2023,34531.74137398919,34843.93549965057,34110.97396275001,34502.36466323515,17184860315.15,673783741121.58,2023-10-30T00:00:00.000Z,2023-10-30T14:23:00.000Z,2023-10-30T17:20:00.000Z,2023-10-30T23:59:59.999Z
29-10-2023,34089.37173931879,34743.26241563235,33947.567177942576,34538.48208811027,11160323986.4,674455804209.68,2023-10-29T00:00:00.000Z,2023-10-29T18:31:00.000Z,2023-10-29T04:05:00.000Z,2023-10-29T23:59:59.999Z
28-10-2023,33907.723653860434,34399.38897762545,33874.80478363995,34089.575872222245,10160330824.97,665660534679.17,2023-10-28T00:00:00.000Z,2023-10-28T11:22:00.000Z,2023-10-28T01:38:00.000Z,2023-10-28T23:59:59.999Z
27-10-2023,34156.50068624584,34238.210771029786,33416.88548599963,33909.799284311055,16418032871.14,662115721497.01,2023-10-27T00:00:00.000Z,2023-10-27T07:00:00.000Z,2023-10-27T18:32:00.000Z,2023-10-27T23:59:59.999Z
26-10-2023,34504.28742231323,34832.90854019843,33762.32328945471,34156.64982838871,19427195375.76,666904079221.52,2023-10-26T00:00:00.000Z,2023-10-26T03:43:00.000Z,2023-10-26T17:02:00.000Z,2023-10-26T23:59:59.999Z
25-10-2023,33916.044054764105,35133.75756928053,33709.11030997213,34502.820891545154,25254318008.32,673629831821.37,2023-10-25T00:00:00.000Z,2023-10-25T16:17:00.000Z,2023-10-25T07:47:00.000Z,2023-10-25T23:59:59.999Z
24-10-2023,33077.3039477251,35150.43349875471,32880.761730370104,33901.52656336352,44934999644.84,661859706505.71,2023-10-24T00:00:00.000Z,2023-10-24T02:27:00.000Z,2023-10-24T00:09:00.000Z,2023-10-24T23:59:59.999Z
23-10-2023,30140.68486297176,34370.438769449385,30097.82874227834,33086.23296857776,38363572311.35,645916652811.37,2023-10-23T00:00:00.000Z,2023-10-23T22:43:00.000Z,2023-10-23T01:03:00.000Z,2023-10-23T23:59:59.999Z
22-10-2023,29918.655035349915,30199.43311179201,29720.31344961577,29993.896524372045,10446520039.78,585517392721.71,2023-10-22T00:00:00.000Z,2023-10-22T06:13:00.000Z,2023-10-22T07:41:00.000Z,2023-10-22T23:59:59.999Z
21-10-2023,29683.38181721833,30287.481648650417,29481.75231422402,29918.411667928853,11541146995.56,584015234381.83,2023-10-21T00:00:00.000Z,2023-10-21T18:02:00.000Z,2023-10-21T03:13:00.000Z,2023-10-21T23:59:59.999Z
20-10-2023,28732.811547629823,30104.08561297428,28601.670157124805,29682.949273603557,21536125230.44,579392054001.41,2023-10-20T00:00:00.000Z,2023-10-20T10:41:00.000Z,2023-10-20T01:13:00.000Z,2023-10-20T23:59:59.999Z
19-10-2023,28332.415305722483,28892.473676820835,28177.987543782026,28719.80613290645,14448058194.96,560568426319.13,2023-10-19T00:00:00.000Z,2023-10-19T16:25:00.000Z,2023-10-19T01:47:00.000Z,2023-10-19T23:59:59.999Z
18-10-2023,28413.53080769047,28889.009589156663,28174.252550951336,28328.34115199262,12724128585.67,552901231268.14,2023-10-18T00:00:00.000Z,2023-10-18T04:58:00.000Z,2023-10-18T14:38:00.000Z,2023-10-18T23:59:59.999Z
17-10-2023,28522.09816591931,28618.752389829486,28110.186117224013,28415.74813970713,14872527507.52,554581972707.2,2023-10-17T00:00:00.000Z,2023-10-17T17:01:00.000Z,2023-10-17T04:08:00.000Z,2023-10-17T23:59:59.999Z
16-10-2023,27162.628228881622,29448.13903714385,27130.47347816684,28519.46667944904,27833876539.05,556577526992.93,2023-10-16T00:00:00.000Z,2023-10-16T13:33:00.000Z,2023-10-16T00:46:00.000Z,2023-10-16T23:59:59.999Z
15-10-2023,26858.011725691675,27289.170319398087,26817.894010481687,27159.65291878015,7098201979.78,530017041635.81,2023-10-15T00:00:00.000Z,2023-10-15T22:12:00.000Z,2023-10-15T13:06:00.000Z,2023-10-15T23:59:59.999Z
14-10-2023,26866.203244946537,26968.999218177312,26814.586586246372,26861.706202559675,5388116781.76,524174123665.75,2023-10-14T00:00:00.000Z,2023-10-14T03:38:00.000Z,2023-10-14T21:30:00.000Z,2023-10-14T23:59:59.999Z
13-10-2023,26752.8795584136,27092.696746124435,26686.32230944192,26862.375445622496,15165312851.42,524162174273.51,2023-10-13T00:00:00.000Z,2023-10-13T21:03:00.000Z,2023-10-13T17:35:00.000Z,2023-10-13T23:59:59.999Z
12-10-2023,26873.29249139075,26921.438902881455,26558.320783999003,26756.798638828568,9392909295.17,522077986120.86,2023-10-12T00:00:00.000Z,2023-10-12T02:55:00.000Z,2023-10-12T17:36:00.000Z,2023-10-12T23:59:59.999Z
11-10-2023,27392.07554608154,27474.116186528725,26561.099365503007,26873.321120758894,13648094333.06,524325019033.96,2023-10-11T00:00:00.000Z,2023-10-11T01:11:00.000Z,2023-10-11T17:50:00.000Z,2023-10-11T23:59:59.999Z
10-10-2023,27589.20110159883,27715.848347420426,27301.655078145017,27391.01951743658,9973350678.17,534398434701.94,2023-10-10T00:00:00.000Z,2023-10-10T08:34:00.000Z,2023-10-10T18:59:00.000Z,2023-10-10T23:59:59.999Z
09-10-2023,27934.47216233954,27989.470901969704,27302.561918923322,27583.678594954847,12007668568.18,538127916933.08,2023-10-09T00:00:00.000Z,2023-10-09T01:54:00.000Z,2023-10-09T16:46:00.000Z,2023-10-09T23:59:59.999Z
08-10-2023,27971.67810720863,28102.17039092581,27740.6630244878,27935.089580661173,7916875289.67,544957531993.92,2023-10-08T00:00:00.000Z,2023-10-08T03:45:00.000Z,2023-10-08T13:16:00.000Z,2023-10-08T23:59:59.999Z
07-10-2023,27946.781632976956,28028.09208690548,27870.423458053087,27968.838870789834,6553044316.48,545589873920.51,2023-10-07T00:00:00.000Z,2023-10-07T09:02:00.000Z,2023-10-07T00:27:00.000Z,2023-10-07T23:59:59.999Z
06-10-2023,27412.122423691733,28252.537569906584,27215.552446207737,27946.596779928914,13492391598.97,545126652148.46,2023-10-06T00:00:00.000Z,2023-10-06T21:39:00.000Z,2023-10-06T13:01:00.000Z,2023-10-06T23:59:59.999Z
05-10-2023,27798.647126999644,28091.861237067216,27375.6014238251,27415.91198216774,11877253669.95,534747363212.19,2023-10-05T00:00:00.000Z,2023-10-05T14:21:00.000Z,2023-10-05T17:21:00.000Z,2023-10-05T23:59:59.999Z
04-10-2023,27429.074995008952,27826.657948194268,27248.10624655641,27799.39409587958,11143355313.54,542203190963.03,2023-10-04T00:00:00.000Z,2023-10-04T19:12:00.000Z,2023-10-04T00:41:00.000Z,2023-10-04T23:59:59.999Z
03-10-2023,27508.251818807486,27667.192031153318,27216.001322534754,27429.979016663234,11407814186.59,534975274335.57,2023-10-03T00:00:00.000Z,2023-10-03T06:52:00.000Z,2023-10-03T20:07:00.000Z,2023-10-03T23:59:59.999Z
02-10-2023,27976.799152029067,28494.45963843138,27347.787579633296,27530.784889745028,19793041321.84,536912579985.45,2023-10-02T00:00:00.000Z,2023-10-02T14:00:00.000Z,2023-10-02T21:55:00.000Z,2023-10-02T23:59:59.999Z
01-10-2023,26967.39743314936,28047.237710026937,26965.094292320064,27983.75038178473,9503917434.43,545719315434.05,2023-10-01T00:00:00.000Z,2023-10-01T22:34:00.000Z,2023-10-01T00:34:00.000Z,2023-10-01T23:59:59.999Z
30-09-2023,26911.6891847171,27091.79550783723,26888.967803714917,26967.916301063717,5331172801.03,525885640459.76,2023-09-30T00:00:00.000Z,2023-09-30T15:47:00.000Z,2023-09-30T02:35:00.000Z,2023-09-30T23:59:59.999Z
29-09-2023,27024.84171393561,27225.93842991725,26721.762796688006,26911.72160276557,10396435377.43,524766460979.21,2023-09-29T00:00:00.000Z,2023-09-29T07:40:00.000Z,2023-09-29T14:10:00.000Z,2023-09-29T23:59:59.999Z
